Tableau OCB - Modèles à densité moyenne standard de 275W/pi
Watts;# Produit;;;;Watts 240/208V2;# Produit 240/208V;Prix;Longueur;;Poids;
;120V;208V;347V;600V;;;;po;mm;lb;kg
500.0;OCB0502;OCB0508;OCB0507;-;500/375;OCB0500;597.00;28.0;711.0;8.0;3.6
750.0;OCB0752;OCB0758;OCB0757;OCB0756;750/563;OCB0750;641.00;38.0;965.0;10.8;4.9
1000.0;OCB1002;OCB1008;OCB1007;OCB1006;1000/750;OCB1000;683.00;48.1875;1224.0;13.7;6.2
1250.0;OCB1252;OCB1258;OCB1257;OCB1256;1250/938;OCB1250;735.00;57.6875;1465.0;16.4;7.5
1500.0;OCB1502;OCB1508;OCB1507;OCB1506;1500/1125;OCB1500;790.00;66.4375;1687.0;18.8;8.6
1750.0;-;OCB1758;OCB1757;OCB1756;1750/1313;OCB1750;851.00;75.8125;1925.0;21.5;9.8
2000.0;-;OCB2008;OCB2007;OCB2006;2000/1500;OCB2000;914.00;84.5625;2148.0;24.0;10.9
2250.0;-;OCB2258;OCB2257;OCB2256;2250/1688;OCB2250;988.00;93.5;2375.0;26.5;12.1
2500.0;-;OCB2508;OCB2507;OCB2506;2500/1875;OCB2500;1046.00;102.625;2606.0;29.1;13.2
