Tableau ODB - Plinthe coupe-brise en aluminium
Watts;# Produit;;;;Watts 240/208V1;# Produit 240/208V;Prix;Longueur;;Poids;
;120V;208V;347V;600V;;;po;mm;lb;kg
500.0;ODB0502;ODB0508;ODB0507;-;500/375;ODB0500;542.00;29.0625;738.0;8.0;3.6
750.0;ODB0752;ODB0758;ODB0757;ODB0756;750/563;ODB0750;589.00;39.0625;992.0;10.4;4.7
1000.0;ODB1002;ODB1008;ODB1007;ODB1006;1000/750;ODB1000;647.00;49.3125;1253.0;12.8;5.8
1250.0;ODB1252;ODB1258;ODB1257;ODB1256;1250/938;ODB1250;709.00;58.8125;1494.0;15.1;6.8
1500.0;ODB1502;ODB1508;ODB1507;ODB1506;1500/1125;ODB1500;784.00;67.5;1715.0;17.2;7.8
1750.0;-;ODB1758;ODB1757;ODB1756;1750/1313;ODB1750;866.00;76.875;1952.0;19.4;8.8
2000.0;-;ODB2008;ODB2007;ODB2006;2000/1500;ODB2000;961.00;85.625;2175.0;21.5;9.7
2250.0;-;ODB2258;ODB2257;ODB2256;2250/1688;ODB2250;1065.00;94.5;2400.0;23.6;10.7
2500.0;-;ODB2508;ODB2507;ODB2506;2500/1875;ODB2500;1187.00;103.625;2632.0;25.8;11.7
